Water Polo Men's Water Polo,Water Polo
Shooting Women's Trap,Shooting
Rowing Men's Double Sculls,Rowing
Athletics Men's Javelin Throw,Athletics
"Shooting Men's Trap, Single Shot, 16 metres",Shooting
"Wrestling Men's Featherweight, Freestyle",Wrestling
"Wrestling Men's Middleweight, Freestyle",Wrestling
"Canoeing Women's Kayak Doubles, 500 metres",Canoeing
Biathlon Women's 7.5 kilometres Sprint,Biathlon
Cycling Men's 1/2 mile,Cycling
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
"Athletics Men's 5,000 metres",Athletics
Freestyle Skiing Women's Moguls,Freestyle Skiing
"Archery Men's Au Cordon Dore, 33 metres",Archery
Weightlifting Women's Lightweight,Weightlifting
Shooting Men's Trap,Shooting
Table Tennis Men's Team,Table Tennis
Shooting Women's Double Trap,Shooting
Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
Taekwondo Men's Welterweight,Taekwondo
Sailing Mixed 12 metres,Sailing
Weightlifting Men's Lightweight,Weightlifting
Rowing Men's Lightweight Coxless Fours,Rowing
"Athletics Women's 3,000 metres",Athletics
Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
Cross Country Skiing Women's Sprint,Cross Country Skiing
Equestrianism Mixed High Jump,Equestrianism
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Shooting
Snowboarding Men's Giant Slalom,Snowboarding
Taekwondo Men's Heavyweight,Taekwondo
Cycling Men's 1/3 mile,Cycling
Rowing Men's 17-Man Naval Rowing Boats,Rowing
"Fencing Men's epee, Masters, Individual",Fencing
Badminton Men's Doubles,Badminton
Swimming Men's 100 metres Backstroke,Swimming
Athletics Men's Decathlon,Athletics
Motorboating Mixed B-Class (Under 60 Feet),Motorboating
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing
"Fencing Men's Foil, Individual",Fencing
Swimming Women's 4 x 200 metres Freestyle Relay,Swimming
Archery Men's Continental Style,Archery
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting
"Shooting Men's Military Pistol, 25 metres",Shooting
"Athletics Women's 3,000 metres Steeplechase",Athletics
Boxing Men's Light-Flyweight,Boxing
Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
"Wrestling Men's Welterweight, Freestyle",Wrestling
"Nordic Combined Men's Normal Hill / 10 km, Individual",Nordic Combined
Athletics Women's Heptathlon,Athletics
"Canoeing Men's Canadian Singles, 500 metres",Canoeing
Swimming Men's 200 metres Freestyle,Swimming
Athletics Men's 4 x 400 metres Relay,Athletics
"Swimming Men's 1,200 metres Freestyle",Swimming
"Archery Men's Pole Archery, Small Birds, Team",Archery
