UGA,1980,Summer,Uganda
FRA,2008,Summer,Diabolo St Maurice
AUS,1992,Winter,Australia
BAN,2004,Summer,Bangladesh
FRA,1932,Summer,France
AUT,1896,Summer,Austria
BRA,1936,Summer,Lbeck
AUT,1992,Winter,Austria
AUT,1960,Summer,Evita VI
FRA,1948,Summer,France
LAO,2000,Summer,Laos
NOR,1924,Summer,Norway-2
ITA,1988,Winter,Italy-2
SUI,1964,Winter,Switzerland-2
LAT,2002,Winter,Latvia-1
CHI,1998,Winter,Chile
PHI,2004,Summer,Philippines
MAW,2004,Summer,Malawi
GEO,2006,Winter,Georgia
FRG,1968,Summer,West Germany
USA,2000,Summer,United States
SEN,1972,Summer,Senegal
YUG,1936,Summer,Konstanz
ANG,1988,Summer,Angola
FIN,1948,Summer,Raili
SUI,1948,Winter,Switzerland-1
FRA,1900,Summer,Demi-Mondaine-15
SYR,1984,Summer,Syria
MON,1952,Summer,Monaco
ANT,1984,Summer,Antigua and Barbuda
AUT,1988,Summer,Austria
COK,2004,Summer,Cook Islands
DEN,2008,Summer,Denmark-1
FRA,1960,Summer,Frip IV
USA,1960,Summer,Vim III
ISL,1992,Summer,Iceland
MEX,2012,Summer,Mexico
HUN,1908,Summer,Pannonia RC/National RC
NOR,1920,Summer,Jo
FRA,1900,Summer,Pupilles de Neptune de Lille #2-1
ISV,1988,Winter,United States Virgin Islands
CAN,1964,Winter,Canada-2
USA,2002,Winter,United States-2
AND,2000,Summer,Andorra
AFG,1964,Summer,Afghanistan
TPE,1984,Winter,Chinese Taipei-2
GBR,1920,Summer,Brat
IND,1900,Summer,India
THA,1996,Summer,Thailand-1
FRA,1900,Summer,Pirouette-5
GRE,1980,Winter,Greece
JPN,1924,Summer,Japan-2
SEN,1992,Winter,Senegal
FRA,1900,Summer,Sarcelle-3
AZE,2006,Winter,Azerbaijan
CIV,1976,Summer,Cote d'Ivoire
CAN,1964,Summer,State VI
HUN,1972,Winter,Hungary
